orig_cfs_code,dest_cfs_code,truck,rail,water,air
0446060,13496,0.0,0.0,0.0,0.0
0446060,1399999,0.0,0.0,0.0,0.0
0446060,1699999,0.0,0.0,0.0,0.0
0446060,17176,52.0,0.0,0.0,0.0
0446060,17476,0.0,0.0,0.0,0.0
0446060,1799999,0.0,0.0,0.0,0.0
0446060,18176,0.0,0.0,0.0,0.0
0446060,18294,0.0,0.0,0.0,0.0
0446060,1899999,0.0,0.0,0.0,0.0
0446060,1999999,0.0,0.0,0.0,0.0
0446060,20312,0.0,0.0,0.0,0.0
0446060,2099999,56.0,0.0,0.0,3.0
0446060,21350,0.0,0.0,0.0,0.0
0446060,2199999,0.0,0.0,0.0,0.0
0446060,22132,0.0,0.0,0.0,0.0
0446060,22324,0.0,0.0,0.0,0.0
0446060,22406,0.0,0.0,0.0,0.0
0446060,2299999,0.0,0.0,0.0,0.0
0446060,2399999,0.0,0.0,0.0,0.0
0446060,2412580,0.0,0.0,0.0,0.0
0446060,2447900,0.0,0.0,0.0,0.0
0446060,2499999,3.0,0.0,0.0,0.0
0446060,25148,0.0,0.0,0.0,0.0
0446060,2599999,0.0,0.0,0.0,0.0
0446060,26220,0.0,0.0,0.0,0.0
0446060,26266,0.0,0.0,0.0,0.0
0446060,2699999,0.0,0.0,0.0,0.0
0446060,27378,0.0,0.0,0.0,0.0
0446060,2799999,0.0,0.0,0.0,0.0
0446060,2899999,0.0,0.0,0.0,0.0
0446060,29312,0.0,0.0,0.0,0.0
0446060,29476,0.0,0.0,0.0,0.0
0446060,2999999,3.0,0.0,0.0,0.0
0446060,3099999,17.0,0.0,0.0,0.0
0446060,3199999,0.0,0.0,0.0,0.0
0446060,32332,0.0,0.0,0.0,0.0
0446060,3299999,0.0,0.0,0.0,0.0
0446060,3399999,0.0,0.0,0.0,0.0
0446060,34408,52.0,0.0,0.0,0.0
0446060,34428,0.0,0.0,0.0,0.0
0446060,3499999,0.0,0.0,0.0,0.0
0446060,3599999,133.0,0.0,0.0,0.0
0446060,36104,0.0,0.0,0.0,0.0
0446060,36160,0.0,0.0,0.0,0.0
0446060,36408,0.0,0.0,0.0,3.0
0446060,36464,0.0,0.0,0.0,0.0
0446060,3699999,0.0,0.0,0.0,0.0
0446060,37172,0.0,0.0,0.0,0.0
0446060,37268,0.0,0.0,0.0,0.0
0446060,37450,0.0,0.0,0.0,0.0
0446060,3799999,0.0,0.0,0.0,0.0
0446060,3899999,0.0,0.0,0.0,0.0
0446060,39178,0.0,0.0,0.0,0.0
0446060,39184,0.0,0.0,0.0,0.0
0446060,39198,0.0,0.0,0.0,0.0
0446060,39212,0.0,0.0,0.0,0.0
0446060,3999999,39.0,0.0,0.0,0.0
0446060,40416,0.0,0.0,0.0,0.0
0446060,40538,0.0,0.0,0.0,0.0
0446060,4099999,236.0,0.0,0.0,0.0
0446060,4138900,0.0,0.0,0.0,0.0
0446060,4199999,22.0,0.0,0.0,0.0
0446060,42428,0.0,0.0,0.0,0.0
0446060,42430,0.0,0.0,0.0,0.0
0446060,4299999,0.0,0.0,0.0,3.0
0446060,4439300,0.0,0.0,0.0,0.0
0446060,4516700,0.0,0.0,0.0,0.0
0446060,45273,0.0,0.0,0.0,0.0
0446060,4599999,0.0,0.0,0.0,0.0
0446060,4699999,13.0,0.0,0.0,0.0
0446060,4732820,0.0,0.0,0.0,0.0
0446060,47400,0.0,0.0,0.0,0.0
0446060,4799999,0.0,0.0,0.0,0.0
0446060,4812420,0.0,0.0,0.0,0.0
0446060,4813140,1.0,0.0,0.0,0.0
0446060,48204,0.0,0.0,0.0,0.0
0446060,48206,0.0,0.0,0.0,0.0
0446060,4821340,59.0,0.0,0.0,0.0
0446060,48288,0.0,0.0,0.0,0.0
0446060,4829700,0.0,0.0,0.0,0.0
0446060,4841700,0.0,0.0,0.0,0.0
0446060,4899999,0.0,0.0,0.0,0.0
0446060,49482,19.0,0.0,0.0,0.0
0446060,4999999,4.0,0.0,0.0,0.0
0446060,5099999,0.0,0.0,0.0,0.0
0446060,5140060,4.0,0.0,0.0,0.0
0446060,5147260,0.0,0.0,0.0,0.0
0446060,51548,0.0,0.0,0.0,0.0
0446060,5199999,0.0,0.0,0.0,0.0
0446060,53500,10.0,0.0,0.0,0.0
0446060,5399999,0.0,0.0,0.0,0.0
0446060,5499999,257.0,0.0,0.0,0.0
0446060,55376,0.0,0.0,0.0,0.0
0446060,5599999,0.0,0.0,0.0,0.0
0446060,5699999,0.0,0.0,0.0,0.0
